query_id,template_id,sql_text
Q32_V002,Q_0358,SELECT AVG(c_acctbal) AS avg_balance FROM customer WHERE c_acctbal < 0;
Q32_V003,Q_0359,"SELECT c_mktsegment, AVG(c_acctbal) AS avg_balance FROM customer GROUP BY c_mktsegment ORDER BY avg_balance DESC;"
Q32_V004,Q_0360,"SELECT c_nationkey, AVG(c_acctbal) AS avg_balance FROM customer GROUP BY c_nationkey ORDER BY avg_balance DESC;"
Q32_V005,Q_0361,SELECT SUM(c_acctbal) AS total_balance FROM customer;
Q32_V006,Q_0362,"SELECT MIN(c_acctbal) AS min_balance, MAX(c_acctbal) AS max_balance, AVG(c_acctbal) AS avg_balance FROM customer;"
Q32_V007,Q_0363,"SELECT c_mktsegment, SUM(c_acctbal) AS total_balance FROM customer GROUP BY c_mktsegment ORDER BY total_balance DESC;"
Q32_V008,Q_0364,SELECT AVG(c_acctbal) AS avg_balance FROM customer WHERE c_mktsegment = 'MACHINERY';
Q32_V009,Q_0365,SELECT AVG(c_acctbal) AS avg_balance FROM customer WHERE c_mktsegment = 'FURNITURE';
Q32_V010,Q_0366,"SELECT c_mktsegment, COUNT(*) AS cnt, AVG(c_acctbal) AS avg_balance FROM customer GROUP BY c_mktsegment ORDER BY avg_balance DESC;"
Q32_V011,Q_0367,"SELECT ROUND(AVG(c_acctbal),2) AS avg_balance FROM customer WHERE c_acctbal >= 0 AND c_nationkey <= 12;"
Q33_V001,Q_0368,"SELECT MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders;"
Q33_V002,Q_0369,"SELECT MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price, AVG(o_totalprice) AS avg_price FROM orders;"
Q33_V003,Q_0370,"SELECT MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders WHERE o_orderstatus = 'O';"
Q33_V004,Q_0371,"SELECT MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders WHERE o_orderstatus = 'F';"
Q33_V005,Q_0372,"SELECT MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders WHERE EXTRACT(YEAR FROM o_orderdate) = 1995;"
Q33_V006,Q_0373,"SELECT MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders WHERE EXTRACT(YEAR FROM o_orderdate) >= 1996;"
Q33_V007,Q_0374,"SELECT o_orderstatus, MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders GROUP BY o_orderstatus;"
Q33_V008,Q_0375,"SELECT o_orderpriority, MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders GROUP BY o_orderpriority ORDER BY o_orderpriority;"
Q33_V009,Q_0376,"SELECT MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders WHERE o_totalprice > 100000;"
Q33_V010,Q_0377,"SELECT SUM(o_totalprice) AS total_revenue, COUNT(*) AS order_count FROM orders;"
Q33_V011,Q_0378,"SELECT EXTRACT(YEAR FROM o_orderdate) AS order_year, MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price FROM orders GROUP BY order_year ORDER BY order_year;"
Q34_V001,Q_0379,"SELECT o_orderstatus, COUNT(*) AS cnt FROM orders GROUP BY o_orderstatus;"
Q34_V002,Q_0380,"SELECT o_orderstatus, COUNT(*) AS cnt FROM orders GROUP BY o_orderstatus ORDER BY cnt DESC;"
Q34_V003,Q_0381,"SELECT o_orderstatus, COUNT(*) AS cnt FROM orders GROUP BY o_orderstatus ORDER BY o_orderstatus;"
Q34_V004,Q_0382,"SELECT o_orderstatus, SUM(o_totalprice) AS total_revenue FROM orders GROUP BY o_orderstatus ORDER BY total_revenue DESC;"
Q34_V005,Q_0383,"SELECT o_orderstatus, AVG(o_totalprice) AS avg_price FROM orders GROUP BY o_orderstatus;"
Q34_V006,Q_0384,"SELECT o_orderstatus, COUNT(*) AS cnt FROM orders WHERE o_totalprice <= 100000 GROUP BY o_orderstatus;"
Q34_V007,Q_0385,"SELECT o_orderstatus, COUNT(*) AS cnt FROM orders WHERE EXTRACT(YEAR FROM o_orderdate) = 1996 GROUP BY o_orderstatus;"
Q34_V008,Q_0386,"SELECT o_orderstatus, COUNT(*) AS cnt FROM orders WHERE EXTRACT(YEAR FROM o_orderdate) >= 1997 GROUP BY o_orderstatus;"
Q34_V009,Q_0387,"SELECT o_orderstatus, o_orderpriority, COUNT(*) AS cnt FROM orders GROUP BY o_orderstatus, o_orderpriority ORDER BY o_orderstatus, cnt DESC;"
Q34_V010,Q_0388,"SELECT o_orderstatus, MIN(o_totalprice) AS min_price, MAX(o_totalprice) AS max_price, COUNT(*) AS cnt FROM orders GROUP BY o_orderstatus;"
Q34_V011,Q_0389,"SELECT o_orderstatus, COUNT(*) AS cnt FROM orders WHERE o_orderdate >= '1994-01-01' AND o_orderdate < '1995-01-01' GROUP BY o_orderstatus;"
Q35_V001,Q_0390,"SELECT c_custkey, c_name, c_acctbal FROM customer WHERE c_acctbal < 0;"
Q35_V002,Q_0391,"SELECT c_custkey, c_name, c_acctbal FROM customer WHERE c_acctbal < 0 ORDER BY c_acctbal ASC;"
Q35_V003,Q_0392,"SELECT c_custkey, c_name, c_acctbal FROM customer WHERE c_acctbal <= -500;"
Q35_V004,Q_0393,"SELECT c_custkey, c_name, c_acctbal FROM customer WHERE c_acctbal > 0 ORDER BY c_acctbal DESC LIMIT 20;"
Q35_V005,Q_0394,"SELECT c_custkey, c_name, c_acctbal, c_mktsegment FROM customer WHERE c_acctbal < 0 ORDER BY c_acctbal;"
Q35_V006,Q_0395,"SELECT c_custkey, c_name, c_acctbal FROM customer WHERE c_acctbal < 0 AND c_mktsegment = 'MACHINERY';"
Q35_V007,Q_0396,"SELECT c_custkey, c_name, c_acctbal FROM customer WHERE c_acctbal < 0 AND c_mktsegment = 'FURNITURE';"
Q35_V008,Q_0397,"SELECT c_mktsegment, COUNT(*) AS neg_balance_count FROM customer WHERE c_acctbal < 0 GROUP BY c_mktsegment ORDER BY neg_balance_count DESC;"
Q35_V009,Q_0398,"SELECT c_nationkey, COUNT(*) AS neg_balance_count FROM customer WHERE c_acctbal < 0 GROUP BY c_nationkey ORDER BY neg_balance_count DESC;"
Q35_V010,Q_0399,"SELECT c_custkey, c_name, c_acctbal FROM customer WHERE c_acctbal BETWEEN -1000 AND 0;"
